player_id,full_name,recent_team,season,week,pass_comp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rec,rec_yds,position,headshot_url,scrim_yds
00-0036244,Colby Parkinson,SEA,2022,1,0,0,0,0,0,0,0,2,43,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/htjcf1x1ohmhoke9u6is",43
00-0036250,Tyler Davis,GB,2022,1,0,0,0,0,0,0,0,1,3,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xp6jjywef1hipnbkmszr",3
00-0036251,Zack Moss,BUF,2022,1,0,0,0,0,0,6,15,6,21,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lhsxp1czwfg0thucvhtf",36
00-0036252,Michael Pittman,IND,2022,1,0,0,0,0,0,0,0,9,121,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mkhwsbbkzcjzp7hd8u5x",121
00-0036259,Jauan Jennings,SF,2022,1,0,0,0,0,0,0,0,4,62,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rwq08rzc0xlfvsxi6mql",62
00-0036261,Brandon Aiyuk,SF,2022,1,0,0,0,0,0,1,7,2,40,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gckbb3t2zkeczedw55zp",47
00-0036264,Jordan Love,GB,2022,1,4,4,65,0,0,0,0,0,0,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a6i6tjhn1gmiuer38l4p",0
00-0036265,AJ Dillon,GB,2022,1,0,0,0,0,0,10,45,5,46,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/w270owegdowada3phhr2",91
00-0036275,DAndre Swift,DET,2022,1,0,0,0,0,0,15,144,3,31,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dtyenl0mb55yvh90ttoz",175
00-0036290,Cole Kmet,CHI,2022,1,0,0,0,0,0,0,0,0,0,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nhm40cko3e3njtfytqro",0
00-0036309,Darnell Mooney,CHI,2022,1,0,0,0,0,0,0,0,1,8,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fdnosrx5gylbgeuf6m4r",8
00-0036322,Justin Jefferson,MIN,2022,1,0,0,0,0,0,0,0,9,184,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zdstmm4sloqnichybgja",184
00-0036326,Chase Claypool,PIT,2022,1,0,0,0,0,0,6,36,4,18,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/llbbyzhmuvts29jvft4p",54
