dateGame,locationGame,slugTeam,Opp,namePlayer,3-pointers,fg3a,rebounds,assists,steals,blocks,turnovers,points,urlPlayerHeadshot
2021-11-01,A,TOR,NYK,Precious Achiuwa,0,1,9,1,1,0,2,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630173.png
2021-11-01,A,TOR,NYK,OG Anunoby,4,12,6,2,1,0,1,36,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628384.png
2021-11-01,A,OKC,LAC,Derrick Favors,1,1,4,0,0,0,0,9,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202324.png
2021-11-01,H,LAC,OKC,Paul George,5,8,9,7,3,1,4,32,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202331.png
2021-11-01,H,LAC,OKC,Reggie Jackson,2,7,3,2,0,0,2,15,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202704.png
2021-11-01,H,LAC,OKC,Ivica Zubac,0,0,5,0,0,0,0,3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627826.png
2021-11-01,A,OKC,LAC,Shai Gilgeous-Alexander,3,5,7,2,2,1,2,28,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628983.png
2021-11-01,A,OKC,LAC,Kenrich Williams,0,1,4,1,0,1,1,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629026.png
2021-11-01,H,LAC,OKC,Amir Coffey,0,1,0,0,0,0,0,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629599.png
2021-11-01,A,OKC,LAC,Darius Bazley,3,8,6,1,0,1,7,15,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629647.png
2021-11-01,A,OKC,LAC,Ty Jerome,0,2,0,0,1,0,0,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629660.png
2021-11-01,A,OKC,LAC,Jeremiah Robinson-Earl,0,2,6,1,1,0,0,3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630526.png
2021-11-01,H,LAC,OKC,Nicolas Batum,4,8,8,1,2,1,0,14,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201587.png
2021-11-01,A,OKC,LAC,Mike Muscala,1,7,7,3,1,0,0,8,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203488.png
2021-11-01,H,LAC,OKC,Luke Kennard,4,8,4,2,0,0,0,14,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628379.png
2021-11-01,H,LAC,OKC,Isaiah Hartenstein,0,1,12,2,1,1,0,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628392.png
2021-11-01,H,LAC,OKC,Terance Mann,0,5,5,1,2,0,1,10,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629611.png
2021-11-01,A,OKC,LAC,Theo Maledon,1,5,7,1,0,0,3,7,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630177.png
2021-11-01,A,OKC,LAC,Aleksej Pokusevski,1,2,5,1,1,1,0,9,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630197.png
2021-11-01,A,OKC,LAC,Josh Giddey,1,4,5,7,2,2,3,15,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630581.png
2021-11-01,H,LAC,OKC,Eric Bledsoe,0,4,3,3,0,2,4,5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202339.png
2021-11-01,H,LAC,OKC,Justise Winslow,0,0,2,0,0,0,1,4,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626159.png
2021-11-01,H,MIN,ORL,D'Angelo Russell,1,5,5,3,0,1,1,3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626156.png
2021-11-01,A,ORL,MIN,Wendell Carter,2,3,14,3,0,0,2,15,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628976.png
2021-11-01,H,MIN,ORL,Jarred Vanderbilt,0,2,8,0,0,0,0,10,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629020.png
2021-11-01,H,MIN,ORL,Anthony Edwards,2,8,6,3,2,0,2,24,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630162.png
