week,year,Pos,Team,H.A,Oppt,DKP,DKSalary,player
17,2014,WR,KC,h,SDG,6,3600,Dwayne Bowe
17,2014,WR,SDG,a,KC,5.9,4600,Malcom Floyd
17,2014,WR,PHI,a,NYG,5.7,4300,Riley Cooper
17,2014,WR,MIA,h,NYJ,5.7,3000,Brandon Gibson
17,2014,WR,CAR,a,ATL,5.5,3500,Jerricho Cotchery
17,2014,WR,WAS,h,DAL,5.5,3000,Santana Moss
17,2014,WR,CHI,a,MIN,5.4,7500,Alshon Jeffery
17,2014,WR,SEA,h,STL,5.4,3000,Kevin Norwood
17,2014,WR,NYJ,a,MIA,5.4,3700,Jeremy Kerley
17,2014,WR,DET,a,GB,5.3,3000,Jeremy Ross
17,2014,WR,MIN,h,CHI,5.3,3300,Jarius Wright
17,2014,WR,ARI,a,SF,4.9,4700,Larry Fitzgerald
17,2014,WR,PIT,h,CIN,4.7,3000,Markus Wheaton
17,2014,WR,IND,a,TEN,4.6,4600,Donte Moncrief
17,2014,WR,SF,h,ARI,4.5,3000,Quinton Patton
17,2014,WR,CIN,a,PIT,4.2,3000,Brandon Tate
17,2014,WR,NYG,h,PHI,4,3000,Preston Parker
17,2014,WR,STL,a,SEA,3.8,3000,Chris Givens
17,2014,WR,PIT,h,CIN,3.8,3000,Dri Archer
17,2014,WR,CHI,a,MIN,3.8,4300,Marquess Wilson
17,2014,WR,LV,a,DEN,3.7,3500,James Jones
17,2014,WR,TEN,h,IND,3.6,3000,Derek Hagan
17,2014,WR,JAX,a,HOU,3.5,3400,Allen Hurns
17,2014,WR,JAX,a,HOU,3.4,3000,Ace Sanders
17,2014,WR,STL,a,SEA,3.4,3200,Tavon Austin
17,2014,WR,NO,a,TB,3.4,3300,Nick Toon
17,2014,WR,TB,h,NO,3.3,3000,Tavarres King
17,2014,WR,CHI,a,MIN,3.2,3000,Josh Morgan
17,2014,WR,MIN,h,CHI,3.1,4600,Charles Johnson
17,2014,WR,LV,a,DEN,3,3600,Andre Holmes
17,2014,WR,JAX,a,HOU,2.8,4200,Marqise Lee
17,2014,WR,STL,a,SEA,2.7,4200,Stedman Bailey
17,2014,WR,BAL,h,CLE,2.7,3000,Michael Campanaro
17,2014,WR,BAL,h,CLE,2.7,3000,Marlon Brown
17,2014,WR,NO,a,TB,2.6,3000,Robert Meachem
17,2014,WR,CIN,a,PIT,2.6,4000,Mohamed Sanu
17,2014,WR,HOU,h,JAX,2.5,5900,DeAndre Hopkins
17,2014,WR,SF,h,ARI,2.4,3000,Brandon Lloyd
17,2014,WR,DEN,h,LV,2.4,3000,Cody Latimer
17,2014,WR,TB,h,NO,2.1,5500,Vincent Jackson
17,2014,WR,TB,h,NO,2,3000,Russell Shepard
17,2014,WR,CAR,a,ATL,1.9,6200,Kelvin Benjamin
17,2014,WR,SDG,a,KC,1.9,3000,Seyi Ajirotutu
17,2014,WR,CLE,a,BAL,1.9,3000,Travis Benjamin
17,2014,WR,KC,h,SDG,1.7,3000,Jason Avant
17,2014,WR,WAS,h,DAL,1.7,3000,Ryan Grant
17,2014,WR,WAS,h,DAL,1.7,3000,Andre Roberts
17,2014,WR,CIN,a,PIT,1.7,3000,Dane Sanzenbacher
17,2014,WR,ARI,a,SF,1.6,3000,Ted Ginn
17,2014,WR,LV,a,DEN,1.6,3000,Brice Butler
