posteam,defteam,week,play_type,yards_gained,sack,epa,play_clock
LV,BAL,1,pass,21,0,0.5159478262066841,10
BAL,LV,1,pass,13,0,0.9015716961584985,0
BAL,LV,1,run,4,0,-0.15088888630270958,7
BAL,LV,1,run,2,0,-4.912198281148449,6
LV,BAL,1,pass,4,0,-0.19513877807185054,1
LV,BAL,1,pass,5,0,0.3760470118140802,9
LV,BAL,1,run,1,0,0.4461143017979339,9
LV,BAL,1,pass,16,0,0.9643911191960797,12
LV,BAL,1,run,15,0,2.0070532149402425,9
BAL,LV,1,run,2,0,-0.5223583932965994,15
BAL,LV,1,pass,6,0,0.3430578054394573,3
BAL,LV,1,run,5,0,0.9444636923726648,5
BAL,LV,1,run,5,0,0.004134991206228733,8
BAL,LV,1,pass,49,0,3.350804840622004,4
BAL,LV,1,run,8,0,1.71420240245061,27
LV,BAL,1,pass,9,0,0.6987649197690189,10
LV,BAL,1,run,3,0,-0.04043662059120834,15
LV,BAL,1,pass,7,0,0.21846507606096566,11
LV,BAL,1,pass,9,0,0.7166377063840628,2
LV,BAL,1,pass,0,0,-0.5174979428993538,4
LV,BAL,1,pass,0,0,-0.708744389237836,4
LV,BAL,1,pass,37,0,3.417287762509659,5
LV,BAL,1,pass,10,0,0.7749964281683788,13
LV,BAL,1,pass,10,0,2.40267929044785,4
BAL,LV,1,run,1,0,-0.5167771375272423,11
BAL,LV,1,pass,9,0,1.3305635243887082,7
BAL,LV,1,run,0,0,-0.5839575384743512,8
BAL,LV,1,run,28,0,2.151110195030924,0
BAL,LV,1,run,2,0,-0.659341883903835,11
BAL,LV,1,run,4,0,-0.8381238062866032,20
BAL,LV,1,run,2,0,0.24707389889302656,13
LV,BAL,1,pass,20,0,0.33063842315459624,12
LV,BAL,1,pass,18,0,0.8386739699635655,11
LV,BAL,1,pass,11,0,0.5466601236257702,6
LV,BAL,1,run,-2,0,-1.0509336981922388,10
LV,BAL,1,pass,27,0,2.3937945674406365,7
LV,BAL,1,run,6,0,0.26252063212450594,11
LV,BAL,1,pass,0,0,-0.6024491614662111,12
LV,BAL,1,pass,32,0,3.3118304408271797,2
LV,BAL,1,run,0,0,-0.2693018969730474,16
LV,BAL,1,pass,0,0,-1.0050391718978062,0
