Position,Player,Points,Salary,Team,Opp,Minutes,Stats,Date,Started,Home.Away,TeamScore,OppScore,Win.Loss
PG,Stephen Curry,51.5,9600,gsw,sac,37,  24pt 10rb 5as 6st 4to 2trey 7-17fg 8-9ft,2014-10-29,Yes,Away,95,77,Win
PG,Brandon Knight,49.1,6300,mil,cha,39,  22pt 8rb 13as 1bl 4to 2trey 5-17fg 10-10ft,2014-10-29,Yes,Away,106,108,Loss
PG,Tony Wroten,47.1,5500,phi,ind,35,  22pt 8rb 7as 3st 1to 1trey 9-21fg 3-8ft,2014-10-29,Yes,Away,91,103,Loss
PG,Kemba Walker,44.7,7400,cha,mil,39,  26pt 6rb 5as 1st 1bl 3trey 9-26fg 5-11ft,2014-10-29,Yes,Home,108,106,Win
SG,Kobe Bryant,42.3,9000,lal,pho,28,  31pt 4rb 3as 2st 2to 2trey 11-25fg 7-7ft,2014-10-29,Yes,Away,99,119,Loss
PG,Kyle Lowry,41.2,8500,tor,atl,34,  11pt 6rb 10as 3st 1bl 3-11fg 5-7ft,2014-10-29,Yes,Home,109,102,Win
PG,Darren Collison,40.8,5500,sac,gsw,36,  13pt 4rb 8as 5st 1bl 1to 1trey 4-12fg 4-6ft,2014-10-29,Yes,Home,77,95,Loss
PG,Rajon Rondo,40.4,8100,bos,bkn,30,  13pt 7rb 12as 1st 1bl 3to 1trey 6-9fg 0-4ft,2014-10-29,Yes,Home,121,105,Win
SG,DeMar DeRozan,39.7,8200,tor,atl,35,  15pt 11rb 3as 6st 5to 4-16fg 7-10ft,2014-10-29,Yes,Home,109,102,Win
SG,James Harden,37.4,9900,hou,uta,38,  18pt 7rb 10as 1bl 6to 1trey 6-18fg 5-6ft,2014-10-29,Yes,Away,104,93,Win
PG,Deron Williams,36.6,7700,bkn,bos,39,  19pt 3rb 8as 2st 1bl 4to 6-16fg 7-7ft,2014-10-29,Yes,Away,105,121,Loss
SG,Eric Bledsoe,35.7,7400,pho,lal,26,  16pt 6rb 9as 1to 3trey 5-7fg 3-3ft,2014-10-29,Yes,Home,119,99,Win
PG,Jeff Teague,35.6,6500,atl,tor,32,  20pt 3rb 8as 3st 6to 1trey 8-12fg 3-4ft,2014-10-29,Yes,Away,102,109,Loss
PG,Donald Sloan,35,3500,ind,phi,34,  16pt 10rb 6as 1st 4to 1trey 6-13fg 3-4ft,2014-10-29,Yes,Home,103,91,Win
PG,John Wall,34.1,8600,was,mia,37,  16pt 3rb 11as 2st 6to 6-13fg 4-4ft,2014-10-29,Yes,Away,95,107,Loss
SG,Lance Stephenson,32.6,7200,cha,mil,40,  7pt 13rb 8as 2to 3-12fg 1-2ft,2014-10-29,Yes,Home,108,106,Win
SG,Wes Matthews,31.8,5800,por,okc,35,  22pt 4rb 2as 1bl 5trey 8-12fg 1-2ft,2014-10-29,Yes,Home,106,89,Win
SG,Klay Thompson,31.4,6400,gsw,sac,38,  19pt 2rb 6as 2st 1bl 5to 2trey 4-14fg 9-10ft,2014-10-29,Yes,Away,95,77,Win
SG,Joe Johnson,30.7,5900,bkn,bos,34,  19pt 6rb 3as 1st 2to 2trey 7-19fg 3-5ft,2014-10-29,Yes,Away,105,121,Loss
SG,Kyle Korver,29.4,4400,atl,tor,33,  20pt 2rb 2as 3bl 2to 6trey 7-10fg 0-0ft,2014-10-29,Yes,Away,102,109,Loss
PG,Alexey Shved,29.1,3500,phi,ind,24,  18pt 3rb 5as 3trey 5-11fg 5-6ft,2014-10-29,No,Away,91,103,Loss
SG,Dwyane Wade,28.7,8000,mia,was,31,  21pt 1rb 3as 2st 2to 2trey 8-16fg 3-3ft,2014-10-29,Yes,Home,107,95,Win
SG,Rodney Stuckey,28.1,5600,ind,phi,16,  16pt 3rb 5as 1st 1to 2trey 5-9fg 4-6ft,2014-10-29,No,Home,103,91,Win
PG,Goran Dragic,28,8100,pho,lal,26,  18pt 5rb 2as 1st 1to 6-12fg 6-6ft,2014-10-29,Yes,Home,119,99,Win
PG,Mike Conley,27.2,7800,mem,min,34,  16pt 1rb 6as 1st 1to 1trey 7-14fg 1-3ft,2014-10-29,Yes,Home,105,101,Win
PG,Isaiah Thomas,26.7,6500,pho,lal,20,  23pt 1rb 3as 2to 5trey 9-11fg 0-2ft,2014-10-29,No,Home,119,99,Win
PG,Norris Cole,26.6,4300,mia,was,28,  23pt 3rb 2as 3to 3trey 9-15fg 2-2ft,2014-10-29,Yes,Home,107,95,Win
SG,O.J. Mayo,26.1,4500,mil,cha,24,  17pt 3rb 3as 1bl 1to 3trey 6-10fg 2-2ft,2014-10-29,No,Away,106,108,Loss
PG,Aaron Brooks,25.4,4700,chi,nyk,24,  13pt 2rb 6as 1st 1to 1trey 4-5fg 4-4ft,2014-10-29,No,Away,104,80,Win
SG,Terrence Ross,25.1,4800,tor,atl,28,  13pt 3rb 3as 1st 1bl 3trey 5-11fg 0-0ft,2014-10-29,Yes,Home,109,102,Win
PG,Derrick Rose,25.1,8400,chi,nyk,21,  13pt 3rb 5as 2st 3to 3-7fg 7-8ft,2014-10-29,Yes,Away,104,80,Win
PG,Ricky Rubio,24.7,6800,min,mem,36,  12pt 6rb 7as 1st 7to 5-12fg 2-3ft,2014-10-29,Yes,Away,101,105,Loss
SG,Alec Burks,24.6,5100,uta,hou,36,  18pt 3rb 2as 1st 2to 1trey 6-11fg 5-6ft,2014-10-29,Yes,Home,93,104,Loss
PG,D.J. Augustin,23.7,3900,det,den,28,  15pt 6rb 3as 3to 2trey 5-10fg 3-4ft,2014-10-29,No,Away,79,89,Loss
PG,Marcus Smart,23.4,5600,bos,bkn,28,  10pt 2rb 2as 4st 1trey 3-7fg 3-3ft,2014-10-29,No,Home,121,105,Win
PG,Maurice Williams,23,4400,min,mem,26,  18pt 4as 1st 3to 2trey 6-9fg 4-4ft,2014-10-29,No,Away,101,105,Loss
SG,Courtney Lee,22.7,4100,mem,min,36,  14pt 1rb 3as 2st 1bl 3to 2trey 5-11fg 2-2ft,2014-10-29,Yes,Home,105,101,Win
SG,Arron Afflalo,22.3,6200,den,det,40,  15pt 4rb 1as 1st 1to 2trey 6-16fg 1-3ft,2014-10-29,Yes,Home,89,79,Win
SG,Tony Allen,22.1,4800,mem,min,33,  8pt 3rb 5as 3st 3to 4-8fg 0-0ft,2014-10-29,Yes,Home,105,101,Win
PG,Ronnie Price,21.1,3500,lal,pho,30,  6pt 3rb 5as 2st 1trey 2-7fg 1-2ft,2014-10-29,No,Away,99,119,Loss
PG,Damian Lillard,20.9,8300,por,okc,30,  10pt 2rb 5as 1st 1to 2trey 3-10fg 2-2ft,2014-10-29,Yes,Home,106,89,Win
SG,Kentavious Caldwell-Pope,20.9,3800,det,den,36,  7pt 7rb 3as 1bl 1to 1trey 3-19fg 0-0ft,2014-10-29,Yes,Away,79,89,Loss
PG,Trey Burke,20.2,6100,uta,hou,38,  15pt 1rb 4as 2to 6-16fg 3-4ft,2014-10-29,Yes,Home,93,104,Loss
SG,Giannis Antetokounmpo,19.5,5900,mil,cha,24,  10pt 5rb 1as 1bl 1trey 3-6fg 3-3ft,2014-10-29,No,Away,106,108,Loss
PG,Jarrett Jack,19.4,4600,bkn,bos,30,  11pt 2rb 2as 2st 1to 5-9fg 1-2ft,2014-10-29,No,Away,105,121,Loss
PG,Garrett Temple,18.9,3500,was,mia,31,  6pt 7rb 1as 2st 1bl 3to 2trey 2-8fg 0-0ft,2014-10-29,Yes,Away,95,107,Loss
PG,Greivis Vasquez,18.9,4300,tor,atl,17,  12pt 2rb 3as 2trey 5-11fg 0-0ft,2014-10-29,No,Home,109,102,Win
PG,Mario Chalmers,17.8,4900,mia,was,25,  8pt 4rb 4as 1st 3to 1trey 3-7fg 1-1ft,2014-10-29,No,Home,107,95,Win
SG,Andre Roberson,17.4,3500,okc,por,35,  6pt 7rb 2as 1st 2to 3-4fg 0-0ft,2014-10-29,Yes,Away,89,106,Loss
PG,Pablo Prigioni,16.9,3900,nyk,chi,17,  4pt 2rb 3as 3st 1-4fg 2-3ft,2014-10-29,No,Home,80,104,Loss
SG,Wayne Ellington,16.2,3500,lal,pho,25,  13pt 1rb 1st 1trey 6-9fg 0-0ft,2014-10-29,No,Away,99,119,Loss
SG,Gary Neal,15.8,3500,cha,mil,24,  6pt 4rb 2as 1st 2-11fg 2-2ft,2014-10-29,No,Home,108,106,Win
PG,Shane Larkin,14.9,3500,nyk,chi,26,  6pt 2rb 3as 1st 2-6fg 2-2ft,2014-10-29,Yes,Home,80,104,Loss
PG,Steve Blake,14.5,4200,por,okc,20,  1pt 5rb 5as 0-4fg 1-2ft,2014-10-29,No,Home,106,89,Win
SG,Avery Bradley,14,6200,bos,bkn,30,  15pt 1to 1trey 7-13fg 0-0ft,2014-10-29,Yes,Home,121,105,Win
PG,Kirk Hinrich,13.2,4600,chi,nyk,24,  12pt 1rb 1st 2to 3trey 4-10fg 1-1ft,2014-10-29,Yes,Away,104,80,Win
PG,Patrick Beverley,12.4,4900,hou,uta,31,  7pt 2rb 2as 1st 2to 1trey 3-6fg 0-0ft,2014-10-29,Yes,Away,104,93,Win
SG,Marcus Thornton,12,4800,bos,bkn,14,  10pt 1bl 1trey 4-6fg 1-1ft,2014-10-29,No,Home,121,105,Win
SG,J.R. Smith,11.7,6000,nyk,chi,22,  6pt 1rb 3as 2-8fg 2-2ft,2014-10-29,No,Home,80,104,Loss
PG,Shelvin Mack,10.9,3800,atl,tor,15,  2pt 2rb 5as 1to 1-6fg 0-0ft,2014-10-29,No,Away,102,109,Loss
PG,Brian Roberts,10.5,4200,cha,mil,14,  4pt 3as 1st 2-4fg 0-0ft,2014-10-29,No,Home,108,106,Win
SG,Randy Foye,10,5600,den,det,15,  7pt 2st 1to 1trey 2-6fg 2-2ft,2014-10-29,No,Home,89,79,Win
SG,Louis Williams,9.7,4500,tor,atl,15,  8pt 1rb 1as 1to 1trey 3-8fg 1-1ft,2014-10-29,No,Home,109,102,Win
PG,Shabazz Napier,9.6,3900,mia,was,15,  2pt 3rb 2as 1st 1to 1-2fg 0-0ft,2014-10-29,No,Home,107,95,Win
SG,Jordan Clarkson,9.4,3500,lal,pho,15,  4pt 2rb 2as 2-6fg 0-0ft,2014-10-29,No,Away,99,119,Loss
SG,Alan Anderson,8.9,3500,bkn,bos,25,  4pt 2rb 1as 1bl 1to 1-4fg 2-2ft,2014-10-29,No,Away,105,121,Loss
PG,Brandon Jennings,8.8,7400,det,den,20,  4pt 4rb 2as 3to 2-4fg 0-0ft,2014-10-29,Yes,Away,79,89,Loss
SG,Tim Hardaway Jr.,8.5,4600,nyk,chi,18,  7pt 1as 1trey 2-10fg 2-2ft,2014-10-29,No,Home,80,104,Loss
PG,Ty Lawson,8.5,8100,den,det,33,  3pt 5as 2to 1-7fg 1-2ft,2014-10-29,Yes,Home,89,79,Win
PG,Sebastian Telfair,8.2,3500,okc,por,15,  4pt 1rb 2as 1-9fg 2-2ft,2014-10-29,No,Away,89,106,Loss
SG,Nik Stauskas,8,4500,sac,gsw,26,  9pt 1to 2trey 3-10fg 1-1ft,2014-10-29,No,Home,77,95,Loss
PG,Jeremy Lin,7.9,5500,lal,pho,21,  6pt 2rb 1as 2to 2-5fg 2-2ft,2014-10-29,Yes,Away,99,119,Loss
SG,Leandro Barbosa,7.7,3500,gsw,sac,14,  4pt 1rb 1as 1bl 1to 2-4fg 0-0ft,2014-10-29,No,Away,95,77,Win
PG,Dante Exum,7.5,3700,uta,hou,10,  5pt 1as 1st 1to 1trey 2-3fg 0-0ft,2014-10-29,No,Home,93,104,Loss
SG,Kent Bazemore,7.2,4000,atl,tor,11,  2pt 1rb 1st 1bl 1-2fg 0-0ft,2014-10-29,No,Away,102,109,Loss
SG,Thabo Sefolosha,6.4,3800,atl,tor,17,  0pt 2rb 2as 1bl 1to 0-3fg 0-0ft,2014-10-29,No,Away,102,109,Loss
PG,Jerryd Bayless,6,3700,mil,cha,14,  4pt 2as 1to 2-3fg 0-0ft,2014-10-29,No,Away,106,108,Loss
SG,Jason Terry,6,3800,hou,uta,21,  8pt 2to 2trey 3-5fg 0-0ft,2014-10-29,No,Away,104,93,Win
PG,Tyler Ennis,5.5,3500,pho,lal,13,  2pt 3as 1bl 3to 1-2fg 0-0ft,2014-10-29,No,Home,119,99,Win
SG,Tony Snell,5.2,3500,chi,nyk,17,  3pt 1rb 1st 1to 1-4fg 1-1ft,2014-10-29,No,Away,104,80,Win
PG,Nate Robinson,4.5,4200,den,det,6,  3pt 1as 1-4fg 1-1ft,2014-10-29,No,Home,89,79,Win
PG,Isaiah Canaan,4.2,3600,hou,uta,8,  3pt 1rb 1trey 1-3fg 0-0ft,2014-10-29,No,Away,104,93,Win
SG,Allen Crabbe,4.2,3500,por,okc,2,  3pt 1rb 1trey 1-1fg 0-0ft,2014-10-29,No,Home,106,89,Win
SG,Ben McLemore,3.9,4600,sac,gsw,26,  0pt 2rb 1as 1st 2to 0-5fg 0-0ft,2014-10-29,Yes,Home,77,95,Loss
PG,Beno Udrih,3.7,3500,mem,min,14,  2pt 1rb 1as 1to 1-3fg 0-0ft,2014-10-29,No,Home,105,101,Win
SG,C.J. McCollum,2.9,3900,por,okc,16,  2pt 2rb 1as 3to 1-4fg 0-0ft,2014-10-29,No,Home,106,89,Win
PG,Archie Goodwin,2.7,3500,pho,lal,10,  0pt 1rb 1as 0-2fg 0-0ft,2014-10-29,No,Home,119,99,Win
PG,Andre Miller,2.7,3900,was,mia,10,  0pt 1rb 1as 0-1fg 0-0ft,2014-10-29,No,Away,95,107,Loss
SG,Sergey Karasev,2.6,3500,bkn,bos,3,  0pt 3rb 1to 0-0fg 0-0ft,2014-10-29,No,Away,105,121,Loss
PG,Dennis Schroder,2.2,3500,atl,tor,4,  1pt 1rb 0-0fg 1-2ft,2014-10-29,No,Away,102,109,Loss
PG,Ramon Sessions,0.5,5000,sac,gsw,10,  3pt 1as 4to 1-3fg 1-1ft,2014-10-29,No,Home,77,95,Loss
PG,E'Twaun Moore,0,3900,chi,nyk,3,  0pt 0-1fg 0-0ft,2014-10-29,No,Away,104,80,Win
SG,Will Barton,0,3500,por,okc,2,  0pt 0-0fg 0-0ft,2014-10-29,No,Home,106,89,Win
PG,Ray McCallum,0,3800,sac,gsw,2,  0pt 0-0fg 0-0ft,2014-10-29,No,Home,77,95,Loss
PG,Shaun Livingston,0,3900,gsw,sac,4,  0pt 0-0fg 0-0ft,2014-10-29,No,Away,95,77,Win
PF,Kenneth Faried,45.4,7300,den,det,28,  22pt 17rb 4as 3to 8-12fg 6-8ft,2014-10-29,Yes,Home,89,79,Win
PF,Zach Randolph,41.1,7700,mem,min,35,  25pt 13rb 1as 1st 1bl 5to 12-16fg 1-1ft,2014-10-29,Yes,Home,105,101,Win
PF,Thaddeus Young,39.8,7500,min,mem,34,  26pt 4rb 4as 2st 1to 2trey 10-18fg 4-4ft,2014-10-29,Yes,Away,101,105,Loss
SF,Josh Smith,39.5,7800,det,den,36,  25pt 5rb 3as 1st 2bl 2to 9-22fg 7-11ft,2014-10-29,Yes,Away,79,89,Loss
PF,Amir Johnson,39,5300,tor,atl,31,  16pt 10rb 2as 4bl 7-15fg 2-2ft,2014-10-29,Yes,Home,109,102,Win
PF,Derrick Favors,38.4,6000,uta,hou,27,  16pt 7rb 2as 3st 4bl 3to 7-10fg 2-3ft,2014-10-29,Yes,Home,93,104,Loss
PF,LaMarcus Aldridge,37.6,9800,por,okc,34,  27pt 3rb 2as 1st 2bl 2to 1trey 10-19fg 6-8ft,2014-10-29,Yes,Home,106,89,Win
PF,Ed Davis,37.3,3700,lal,pho,33,  14pt 9rb 3as 2st 2bl 6-10fg 2-5ft,2014-10-29,No,Away,99,119,Loss
PF,Taj Gibson,37.1,5600,chi,nyk,28,  22pt 8rb 1as 1st 1bl 10-12fg 2-4ft,2014-10-29,No,Away,104,80,Win
SF,Michael Kidd-Gilchrist,36.1,3600,cha,mil,34,  17pt 8rb 3as 3bl 1to 6-8fg 5-6ft,2014-10-29,Yes,Home,108,106,Win
SF,Paul Pierce,34.7,5500,was,mia,33,  17pt 6rb 5as 2st 1to 1trey 6-10fg 4-5ft,2014-10-29,Yes,Away,95,107,Loss
PF,Pau Gasol,33.2,7600,chi,nyk,29,  21pt 11rb 1to 7-11fg 7-8ft,2014-10-29,Yes,Away,104,80,Win
SF,Nicolas Batum,33,7300,por,okc,34,  16pt 5rb 6as 1st 1bl 2to 2trey 5-12fg 4-4ft,2014-10-29,Yes,Home,106,89,Win
SF,Jeff Green,32.7,6500,bos,bkn,36,  17pt 6rb 3as 2st 2trey 4-10fg 7-9ft,2014-10-29,Yes,Home,121,105,Win
SF,Mirza Teletovic,30.7,4800,bkn,bos,23,  20pt 6rb 1as 2bl 2to 4trey 8-11fg 0-0ft,2014-10-29,No,Away,105,121,Loss
SF,Trevor Ariza,30.5,6100,hou,uta,37,  20pt 5rb 1as 2st 1to 4trey 7-10fg 2-3ft,2014-10-29,Yes,Away,104,93,Win
PF,Paul Millsap,30.5,8600,atl,tor,32,  13pt 10rb 5as 1st 4to 4-13fg 5-9ft,2014-10-29,Yes,Away,102,109,Loss
SF,Gordon Hayward,29.1,6700,uta,hou,38,  8pt 8rb 7as 1st 1to 3-11fg 2-2ft,2014-10-29,Yes,Home,93,104,Loss
PF,Marvin Williams,28.3,3900,cha,mil,33,  19pt 4rb 3as 1st 2to 3trey 8-12fg 0-0ft,2014-10-29,Yes,Home,108,106,Win
SF,Evan Turner,26.9,5300,bos,bkn,24,  10pt 7rb 5as 1st 1bl 3to 5-9fg 0-1ft,2014-10-29,No,Home,121,105,Win
SF,Rudy Gay,25.8,7800,sac,gsw,34,  14pt 9rb 1st 1bl 3to 5-15fg 4-5ft,2014-10-29,Yes,Home,77,95,Loss
PF,Serge Ibaka,25.6,8000,okc,por,29,  10pt 8rb 2as 4bl 5to 1trey 4-11fg 1-2ft,2014-10-29,Yes,Away,89,106,Loss
SF,Draymond Green,25.5,5000,gsw,sac,34,  12pt 10rb 3as 1st 5to 2trey 4-7fg 2-4ft,2014-10-29,Yes,Away,95,77,Win
