season,week,player_id,mfl_id,name,position,team,ff_pts,pass_comp,pass_att,pass_yds,pass_td,pass_int,sacked,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,fumbles_lost,xp,fg,pass_1d,rush_1d,rec_1d,ff_pts_ppr,ff_pts_half,fumbles_recovered,td,sacks,points_allowed
2020,15,bernag1,11193,Giovani Bernard,RB,TB,3.570,0.000,0.000,0.000,0.000,0.000,0.000,6.249,15.690,0.115,2.001,9.486,0.083,0.068,0.000,0.000,0.000,0.786,0.444,5.571,4.57050,NA,NA,NA,NA
2020,15,juszck1,11367,Kyle Juszczyk,RB,SF,3.471,0.000,0.000,0.000,0.000,0.000,0.000,1.381,5.553,0.141,1.364,11.556,0.158,0.017,0.000,0.000,0.000,0.278,0.529,4.835,4.15300,NA,NA,NA,NA
2020,15,willit6,14076,Trayveon Williams,RB,CIN,3.418,0.000,0.000,0.000,0.000,0.000,0.000,7.213,21.423,0.161,0.632,3.794,0.009,0.062,0.000,0.000,0.000,1.073,0.176,4.050,3.73400,NA,NA,NA,NA
2020,15,perins1,13133,Samaje Perine,RB,CIN,3.371,0.000,0.000,0.000,0.000,0.000,0.000,6.355,18.406,0.161,1.264,6.640,0.004,0.062,0.000,0.000,0.000,0.922,0.309,4.635,4.00300,NA,NA,NA,NA
2020,15,mccoyl2,9448,LeSean McCoy,RB,TB,3.143,0.000,0.000,0.000,0.000,0.000,0.000,5.681,21.003,0.042,1.000,7.304,0.021,0.033,0.000,0.000,0.000,1.052,0.336,4.143,3.64300,NA,NA,NA,NA
2020,15,petera2,8658,Adrian Peterson,RB,,3.137,0.000,0.000,0.000,0.000,0.000,0.000,4.399,18.633,0.161,0.691,3.960,0.000,0.044,0.000,0.000,0.000,0.934,0.184,3.828,3.48250,NA,NA,NA,NA
2020,15,morria1,10870,Alfred Morris,RB,NYG,3.034,0.000,0.000,0.000,0.000,0.000,0.000,4.728,21.963,0.070,0.597,4.213,0.013,0.041,0.000,0.000,0.000,1.100,0.194,3.631,3.33250,NA,NA,NA,NA
2020,15,scottb2,13814,Boston Scott,RB,PHI,3.024,0.000,0.000,0.000,0.000,0.000,0.000,2.742,10.677,0.095,1.094,11.623,0.047,0.029,0.000,0.000,0.000,0.535,0.529,4.118,3.57100,NA,NA,NA,NA
2020,15,adamsj3,13611,Josh Adams,RB,NYJ,2.930,0.000,0.000,0.000,0.000,0.000,0.000,4.670,21.257,0.063,0.837,4.943,0.008,0.058,0.000,0.000,0.000,1.065,0.229,3.767,3.34850,NA,NA,NA,NA
2020,15,wilkij2,13789,Jordan Wilkins,RB,IND,2.749,0.000,0.000,0.000,0.000,0.000,0.000,2.966,16.690,0.045,1.207,8.579,0.000,0.024,0.000,0.000,0.000,0.836,0.395,3.956,3.35250,NA,NA,NA,NA
