game_id,closing_be_home,closing_be_away,closing_ml_home,closing_ml_away,home_prob,away_prob,home_away,team,over_under,line,closing_be,closing_odds,closing_prob,home,away,season_type,home_hits,home_score,away_hits,away_score,total_runs,total_hits,home_win,away_win,home_win_margin,away_win_margin,both_teams_score_1,both_teams_score_2,both_teams_score_3,both_teams_score_4,both_teams_score_5,both_teams_score_6,both_teams_score_7,both_teams_score_8,both_teams_score_9,total_over_prob,total_under_prob
90599,0.5867768595041323,0.45454545454545453,-142,120,0.5625298818386723,0.43747011816132775,home,ARI,under,8.5,0.5348837209302326,-115,0.5119184317197681,ARI,BAL,2023 REG,9,5,14,8,13,23,0,1,-3,3,1,1,1,1,1,0,0,0,0,0.48808156828023186,0.5119184317197681
90600,0.5121951219512195,0.5348837209302326,-105,-115,0.48808156828023186,0.5119184317197681,away,NYY,over,9.5,0.5348837209302326,-115,0.5097020142727117,BOS,NYY,2023 REG,9,5,12,8,13,21,0,1,-3,3,1,1,1,1,1,0,0,0,0,0.5097020142727117,0.49029798572728833
90600,0.5121951219512195,0.5348837209302326,-105,-115,0.48808156828023186,0.5119184317197681,home,BOS,under,9.5,0.5121951219512195,-105,0.49029798572728833,BOS,NYY,2023 REG,9,5,12,8,13,21,0,1,-3,3,1,1,1,1,1,0,0,0,0,0.5097020142727117,0.49029798572728833
90601,0.6845425867507886,0.3508771929824561,-217,185,0.6602962391100501,0.3397037608899499,away,OAK,over,8,0.5305164319248826,-113,0.5066009958897986,MIA,OAK,2023 REG,14,12,8,1,13,22,1,0,11,-11,1,0,0,0,0,0,0,0,0,0.5066009958897986,0.49339900411020143
90601,0.6845425867507886,0.3508771929824561,-217,185,0.6602962391100501,0.3397037608899499,home,MIA,under,8,0.5145631067961165,-106,0.49339900411020143,MIA,OAK,2023 REG,14,12,8,1,13,22,1,0,11,-11,1,0,0,0,0,0,0,0,0,0.5066009958897986,0.49339900411020143
90602,0.6428571428571428,0.3921568627450981,-180,155,0.6203481392557023,0.3796518607442977,away,NYY,over,8.5,0.5348837209302326,-115,0.5097020142727117,TB,NYY,2023 REG,7,5,8,4,9,15,1,0,1,-1,1,1,1,1,0,0,0,0,0,0.5097020142727117,0.49029798572728833
90602,0.6428571428571428,0.3921568627450981,-180,155,0.6203481392557023,0.3796518607442977,home,TB,under,8.5,0.5121951219512195,-105,0.49029798572728833,TB,NYY,2023 REG,7,5,8,4,9,15,1,0,1,-1,1,1,1,1,0,0,0,0,0,0.5097020142727117,0.49029798572728833
90603,0.5475113122171946,0.49019607843137253,-121,104,0.5268660892829112,0.47313391071708877,away,ARI,over,8,0.5215311004784688,-109,0.4978845547971712,SD,ARI,2023 REG,3,1,3,3,4,6,0,1,-2,2,1,0,0,0,0,0,0,0,0,0.4978845547971712,0.5021154452028288
90603,0.5475113122171946,0.49019607843137253,-121,104,0.5268660892829112,0.47313391071708877,home,SD,under,8,0.5238095238095238,-110,0.5021154452028288,SD,ARI,2023 REG,3,1,3,3,4,6,0,1,-2,2,1,0,0,0,0,0,0,0,0,0.4978845547971712,0.5021154452028288
90604,0.6621621621621622,0.37735849056603776,-196,165,0.6359930813015974,0.3640069186984026,away,WSH,over,9,0.5305164319248826,-113,0.5053568787472517,STL,WSH,2023 REG,6,5,8,7,12,14,0,1,-2,2,1,1,1,1,1,0,0,0,0,0.5053568787472517,0.49464312125274834
