playerName,teamName,oppName,passComp,passAtt,passYds,passTd,passInt,rushAtt,rushYds,recvReceptions,recvYds
Nick Foles,CHI,@NO,1.1611,1.9433,12.5656,0.0732,0.039,0.0149,0.246,0,0
Taylor Heinicke,WAS,TB,1.0495,1.7158,10.9391,0.0636,0.0506,0.2046,0.7761,0,0
Nick Bellore,SEA,LA,0,0,0,0,0,0.132,0.5107,0.0453,0.3586
Case Keenum,CLV,@PIT,0.8557,1.4246,9.8011,0.0583,0.0303,0.0523,0.2081,0,0
Cameron Brate,TB,@WAS,0,0,0,0,0,0,0,1.2722,12.9418
Jacob Hollister,SEA,LA,0,0,0,0,0,0,0,1.4263,13.0483
David Njoku,CLV,@PIT,0,0,0,0,0,0,0,1.288,14.5182
Blaine Gabbert,TB,@WAS,0.4897,0.7466,5.9924,0.0428,0.0219,0.0299,0.2486,0,0
Tyler Huntley,BLT,@TEN,0.3752,0.6502,4.4299,0.035,0.0201,0.0434,0.45,0,0
Lil'Jordan Humphrey,NO,CHI,0,0,0,0,0,0,0,0.4593,5.3424
Geno Smith,SEA,LA,0.3881,0.6413,4.709,0.0304,0.0306,0.0412,0.2375,0,0
Matt Barkley,BUF,IND,0.4118,0.741,4.8844,0.0314,0.0399,0.0022,0.2208,0,0
Mason Rudolph,PIT,CLV,0.4607,0.7236,5.046,0.0304,0.0202,0.023,0.2066,0,0
Cole McDonald,TEN,BLT,0.4065,0.6544,5.0337,0.0343,0.0193,0.0412,0.2492,0,0
Nick Westbrook,TEN,BLT,0,0,0,0,0,0,0,0.3748,4.8822
Will Dissly,SEA,LA,0,0,0,0,0,0,0,1.0265,12.0357
Austin Carr,NO,CHI,0,0,0,0,0,0,0,0.2269,2.7336
Juwan Johnson,NO,CHI,0,0,0,0,0,0,0,0.2147,2.7966
DeAndre Carter,CHI,@NO,0,0,0,0,0,0,0,0.2455,2.5082
Dezmon Patmon,IND,@BUF,0,0,0,0,0,0,0,0.2028,2.461
Adam Trautman,NO,CHI,0,0,0,0,0,0,0,0.8781,9.9702
Chris Moore,BLT,@TEN,0,0,0,0,0,0,0,0.0927,0.9464
Andre Roberts,BUF,IND,0,0,0,0,0,0.1249,0.6429,0,0
Jaydon Mickens,TB,@WAS,0,0,0,0,0,0,0,0,0
Penny Hart,SEA,LA,0,0,0,0,0,0,0,0.0178,0.2137
Nsimba Webster,LA,@SEA,0,0,0,0,0,0,0,0,0
Demetrius Harris,CHI,@NO,0,0,0,0,0,0,0,0.5795,5.6001
Geoff Swaim,TEN,BLT,0,0,0,0,0,0,0,0.6211,5.0646
Garrett Griffin,NO,CHI,0,0,0,0,0,0,0,0.5083,5.4711
Antony Auclair,TB,@WAS,0,0,0,0,0,0,0,0.5134,5.4023
Vance McDonald,PIT,CLV,0,0,0,0,0,0,0,0.5283,4.8246
MyCole Pruitt,TEN,BLT,0,0,0,0,0,0,0,0.3357,3.387
Lee Smith,BUF,IND,0,0,0,0,0,0,0,0.3455,3.1568
Stephen Carlson,CLV,@PIT,0,0,0,0,0,0,0,0.2195,2.3968
Eric Tomlinson,BLT,@TEN,0,0,0,0,0,0,0,0.2067,1.8516
