season,week,team,opponent
2020,5,CAR,ATL
2020,5,CIN,BAL
2020,5,JAX,HOU
2020,5,LV,KC
2020,5,ARI,NYJ
2020,5,PHI,PIT
2020,5,LA,WAS
2020,5,MIA,SF
2020,5,IND,CLE
2020,5,NYG,DAL
2020,5,MIN,SEA
2020,5,LAC,NO
2020,5,BUF,TEN
2020,6,CHI,CAR
2020,6,CIN,IND
2020,6,DET,JAX
2020,6,ATL,MIN
2020,6,DEN,NE
2020,6,WAS,NYG
2020,6,BAL,PHI
2020,6,CLE,PIT
2020,6,HOU,TEN
2020,6,NYJ,MIA
2020,6,GB,TB
2020,6,LA,SF
2020,6,KC,BUF
2020,6,ARI,DAL
2020,7,NYG,PHI
2020,7,DET,ATL
2020,7,CLE,CIN
2020,7,GB,HOU
2020,7,CAR,NO
2020,7,BUF,NYJ
2020,7,PIT,TEN
2020,7,DAL,WAS
2020,7,TB,LV
2020,7,KC,DEN
2020,7,JAX,LAC
2020,7,SF,NE
2020,7,SEA,ARI
2020,7,CHI,LA
2020,8,ATL,CAR
2020,8,PIT,BAL
2020,8,NE,BUF
2020,8,TEN,CIN
2020,8,LV,CLE
2020,8,IND,DET
2020,8,MIN,GB
2020,8,NYJ,KC
2020,8,LA,MIA
2020,8,LAC,DEN
2020,8,NO,CHI
2020,8,SF,SEA
2020,8,DAL,PHI
2020,8,TB,NYG
2020,9,GB,SF
2020,9,DEN,ATL
2020,9,SEA,BUF
2020,9,BAL,IND
2020,9,HOU,JAX
2020,9,CAR,KC
2020,9,DET,MIN
2020,9,CHI,TEN
2020,9,NYG,WAS
2020,9,LV,LAC
2020,9,MIA,ARI
2020,9,PIT,DAL
2020,9,NO,TB
2020,9,NE,NYJ
2020,10,IND,TEN
2020,10,TB,CAR
2020,10,HOU,CLE
2020,10,WAS,DET
2020,10,JAX,GB
2020,10,PHI,NYG
2020,10,BUF,ARI
2020,10,DEN,LV
2020,10,LAC,MIA
2020,10,SEA,LA
2020,10,SF,NO
2020,10,CIN,PIT
2020,10,BAL,NE
2020,10,MIN,CHI
2020,11,ARI,SEA
2020,11,TEN,BAL
2020,11,DET,CAR
2020,11,PHI,CLE
2020,11,NE,HOU
2020,11,PIT,JAX
2020,11,ATL,NO
2020,11,CIN,WAS
2020,11,MIA,DEN
2020,11,NYJ,LAC
2020,11,GB,IND
2020,11,DAL,MIN
2020,11,KC,LV
2020,11,LA,TB
2020,12,HOU,DET
2020,12,WAS,DAL
2020,12,LV,ATL
2020,12,LAC,BUF
2020,12,NYG,CIN
2020,12,TEN,IND
2020,12,CLE,JAX
2020,12,CAR,MIN
2020,12,ARI,NE
2020,12,MIA,NYJ
2020,12,NO,DEN
2020,12,SF,LA
2020,12,KC,TB
2020,12,CHI,GB
2020,12,SEA,PHI
