season,week,team,opponent,home_away
2022,3,GB,TB,@
2022,3,SF,DEN,@
2022,3,DAL,NYG,@
2022,4,MIA,CIN,@
2022,4,MIN,NO,@
2022,4,CLE,ATL,@
2022,4,BUF,BAL,@
2022,4,WAS,DAL,@
2022,4,SEA,DET,@
2022,4,LAC,HOU,@
2022,4,TEN,IND,@
2022,4,CHI,NYG,@
2022,4,JAX,PHI,@
2022,4,NYJ,PIT,@
2022,4,ARI,CAR,@
2022,4,NE,GB,@
2022,4,DEN,LV,@
2022,4,KC,TB,@
2022,4,LAR,SF,@
2022,5,IND,DEN,@
2022,5,NYG,GB,@
2022,5,PIT,BUF,@
2022,5,LAC,CLE,@
2022,5,HOU,JAX,@
2022,5,CHI,MIN,@
2022,5,DET,NE,@
2022,5,SEA,NO,@
2022,5,MIA,NYJ,@
2022,5,ATL,TB,@
2022,5,TEN,WAS,@
2022,5,SF,CAR,@
2022,5,PHI,ARI,@
2022,5,DAL,LAR,@
2022,5,CIN,BAL,@
2022,5,LV,KC,@
2022,6,WAS,CHI,@
2022,6,SF,ATL,@
2022,6,NE,CLE,@
2022,6,NYJ,GB,@
2022,6,JAX,IND,@
2022,6,MIN,MIA,@
2022,6,CIN,NO,@
2022,6,BAL,NYG,@
2022,6,TB,PIT,@
2022,6,CAR,LAR,@
2022,6,ARI,SEA,@
2022,6,BUF,KC,@
2022,6,DAL,PHI,@
2022,6,DEN,LAC,@
2022,7,NO,ARI,@
2022,7,CLE,BAL,@
2022,7,TB,CAR,@
2022,7,ATL,CIN,@
2022,7,DET,DAL,@
2022,7,NYG,JAX,@
2022,7,IND,TEN,@
2022,7,GB,WAS,@
2022,7,NYJ,DEN,@
2022,7,HOU,LV,@
2022,7,SEA,LAC,@
2022,7,KC,SF,@
2022,7,PIT,MIA,@
2022,7,CHI,NE,@
2022,8,BAL,TB,@
2022,8,DEN,JAX,@
2022,8,CAR,ATL,@
2022,8,CHI,DAL,@
2022,8,MIA,DET,@
2022,8,ARI,MIN,@
2022,8,LV,NO,@
2022,8,NE,NYJ,@
2022,8,PIT,PHI,@
2022,8,TEN,HOU,@
2022,8,WAS,IND,@
2022,8,SF,LAR,@
2022,8,NYG,SEA,@
2022,8,GB,BUF,@
2022,8,CIN,CLE,@
2022,9,PHI,HOU,@
2022,9,LAC,ATL,@
2022,9,MIA,CHI,@
2022,9,CAR,CIN,@
2022,9,GB,DET,@
2022,9,LV,JAX,@
2022,9,IND,NE,@
2022,9,BUF,NYJ,@
2022,9,MIN,WAS,@
2022,9,SEA,ARI,@
2022,9,LAR,TB,@
2022,9,TEN,KC,@
2022,9,BAL,NO,@
2022,10,ATL,CAR,@
2022,10,SEA,TB,@
2022,10,MIN,BUF,@
2022,10,DET,CHI,@
2022,10,JAX,KC,@
2022,10,CLE,MIA,@
2022,10,HOU,NYG,@
2022,10,NO,PIT,@
2022,10,DEN,TEN,@
2022,10,IND,LV,@
2022,10,DAL,GB,@
2022,10,ARI,LAR,@
2022,10,LAC,SF,@
2022,10,WAS,PHI,@
2022,11,TEN,GB,@
2022,11,CHI,ATL,@
2022,11,CAR,BAL,@
2022,11,CLE,BUF,@
2022,11,WAS,HOU,@
2022,11,PHI,IND,@
2022,11,NYJ,NE,@
2022,11,LAR,NO,@
2022,11,DET,NYG,@
2022,11,LV,DEN,@
2022,11,KC,LAC,@
2022,11,DAL,MIN,@
2022,11,CIN,PIT,@
2022,11,SF,ARI,@
2022,12,BUF,DET,@
2022,12,NYG,DAL,@
2022,12,NE,MIN,@
2022,12,DEN,CAR,@
2022,12,TB,CLE,@
2022,12,BAL,JAX,@
2022,12,HOU,MIA,@
2022,12,CHI,NYJ,@
2022,12,CIN,TEN,@
2022,12,ATL,WAS,@
2022,12,LAC,ARI,@
2022,12,LV,SEA,@
2022,12,LAR,KC,@
2022,12,NO,SF,@
2022,12,GB,PHI,@
2022,12,PIT,IND,@
2022,13,BUF,NE,@
2022,13,PIT,ATL,@
2022,13,DEN,BAL,@
2022,13,GB,CHI,@
2022,13,JAX,DET,@
2022,13,CLE,HOU,@
2022,13,NYJ,MIN,@
2022,13,WAS,NYG,@
2022,13,TEN,PHI,@
2022,13,SEA,LAR,@
2022,13,MIA,SF,@
2022,13,KC,CIN,@
2022,13,LAC,LV,@
2022,13,IND,DAL,@
2022,13,NO,TB,@
2022,14,LV,LAR,@
2022,14,NYJ,BUF,@
2022,14,CLE,CIN,@
2022,14,HOU,DAL,@
2022,14,MIN,DET,@
2022,14,PHI,NYG,@
2022,14,BAL,PIT,@
2022,14,JAX,TEN,@
2022,14,MIA,LAC,@
2022,14,CAR,SEA,@
2022,14,TB,SF,@
2022,14,KC,DEN,@
2022,14,NE,ARI,@
2022,15,SF,SEA,@
2022,15,MIA,BUF,@
2022,15,PIT,CAR,@
2022,15,PHI,CHI,@
2022,15,BAL,CLE,@
2022,15,KC,HOU,@
2022,15,DAL,JAX,@
2022,15,IND,MIN,@
2022,15,ATL,NO,@
2022,15,DET,NYJ,@
2022,15,NYG,WAS,@
2022,15,ARI,DEN,@
2022,15,TEN,LAC,@
2022,15,CIN,TB,@
2022,15,NE,LV,@
2022,15,LAR,GB,@
2022,16,JAX,NYJ,@
2022,16,ATL,BAL,@
2022,16,DET,CAR,@
2022,16,BUF,CHI,@
2022,16,NO,CLE,@
2022,16,SEA,KC,@
2022,16,NYG,MIN,@
2022,16,CIN,NE,@
2022,16,HOU,TEN,@
2022,16,WAS,SF,@
2022,16,PHI,DAL,@
2022,16,LV,PIT,@
2022,16,GB,MIA,@
2022,16,DEN,LAR,@
2022,16,TB,ARI,@
2022,16,LAC,IND,@
2022,17,DAL,TEN,@
2022,17,ARI,ATL,@
2022,17,PIT,BAL,@
2022,17,CHI,DET,@
2022,17,JAX,HOU,@
2022,17,DEN,KC,@
2022,17,MIA,NE,@
2022,17,IND,NYG,@
2022,17,NO,PHI,@
2022,17,CAR,TB,@
2022,17,CLE,WAS,@
2022,17,SF,LV,@
2022,17,NYJ,SEA,@
2022,17,MIN,GB,@
2022,17,LAR,LAC,@
2022,17,BUF,CIN,@
2022,18,TB,ATL,@
2022,18,NE,BUF,@
2022,18,MIN,CHI,@
2022,18,BAL,CIN,@
2022,18,LAC,DEN,@
2022,18,DET,GB,@
2022,18,HOU,IND,@
2022,18,TEN,JAX,@
2022,18,KC,LV,@
2022,18,NYJ,MIA,@
2022,18,CAR,NO,@
2022,18,NYG,PHI,@
2022,18,CLE,PIT,@
2022,18,LAR,SEA,@
2022,18,ARI,SF,@
2022,18,DAL,WAS,@
