week,year,Pos,Team,H.A,Oppt,FDP,DKSalary,player
17,2016,TE,TEN,h,HOU,6,6200,Delanie Walker
17,2016,TE,WAS,h,NYG,5.9,4800,Vernon Davis
17,2016,TE,NO,a,ATL,5.3,4800,Coby Fleener
17,2016,TE,CAR,a,TB,3.7,6900,Greg Olsen
17,2016,TE,BUF,a,NYJ,3.5,5600,Charles Clay
17,2016,TE,DEN,h,LV,3.1,4500,Jeff Heuerman
17,2016,TE,CHI,a,MIN,2.8,4500,Daniel Brown
17,2016,TE,IND,h,JAX,2.7,4500,Erik Swoope
17,2016,TE,PIT,h,CLE,2.6,4500,Jesse James
17,2016,TE,SEA,a,SF,2.5,4500,Brandon Williams
17,2016,TE,ATL,h,NO,2.3,4700,Levine Toilolo
17,2016,TE,LV,a,DEN,2.2,4500,Clive Walford
17,2016,TE,LA,h,ARI,2.2,4600,Lance Kendricks
17,2016,TE,HOU,a,TEN,2,4500,Ryan Griffin
17,2016,TE,GB,a,DET,1.9,4600,Richard Rodgers
17,2016,TE,LV,a,DEN,1.9,4500,Mychal Rivera
17,2016,TE,DAL,a,PHI,1.5,4800,Jason Witten
17,2016,TE,PHI,h,DAL,1.4,4600,Brent Celek
17,2016,TE,KC,a,SDG,1.3,6800,Travis Kelce
17,2016,TE,DAL,a,PHI,1.2,4500,Gavin Escobar
17,2016,TE,NYJ,h,BUF,1.2,4500,Brandon Bostick
17,2016,TE,CHI,a,MIN,1.1,4500,MyCole Pruitt
17,2016,TE,NE,a,MIA,0.9,4500,Matt Lengel
17,2016,TE,TB,h,CAR,0.6,4500,Luke Stocker
17,2016,TE,CLE,a,PIT,0.4,4500,Danny Vitale
17,2016,TE,NYG,a,WAS,0,4500,Larry Donnell
17,2016,TE,LA,h,ARI,0,4500,Tyler Higbee
17,2016,TE,MIA,h,NE,0,5100,Dion Sims
17,2016,TE,CHI,a,MIN,0,4500,Logan Paulsen
17,2016,TE,SDG,h,KC,0,4500,Sean McGrath
17,2016,TE,CAR,a,TB,0,4500,Chris Manhertz
17,2016,TE,DET,h,GB,0,4500,Matthew Mulligan
17,2016,TE,MIN,h,CHI,0,4500,Rhett Ellison
17,2016,TE,KC,a,SDG,0,4500,James O'Shaughnessy
17,2016,TE,TEN,h,HOU,0,4500,Phillip Supernaw
17,2016,TE,BUF,a,NYJ,0,4500,Nick O'Leary
17,2016,TE,WAS,h,NYG,0,4500,Derek Carrier
17,2016,TE,NO,a,ATL,0,4500,John Phillips
17,2016,TE,KC,a,SDG,0,4500,Demetrius Harris
17,2016,TE,TB,h,CAR,0,4500,Brandon Myers
17,2016,TE,TEN,h,HOU,0,4500,Anthony Fasano
17,2016,TE,ARI,a,LA,0,4500,Jermaine Gresham
17,2016,TE,CAR,a,TB,0,4500,Ed Dickson
17,2016,TE,CLE,a,PIT,0,4500,Randall Telfer
17,2016,TE,BAL,a,CIN,0,4500,Darren Waller
17,2016,TE,TB,h,CAR,0,4500,Alan Cross
17,2016,TE,HOU,a,TEN,0,4500,Stephen Anderson
17,2016,TE,DEN,h,LV,0,4500,Henry Krieger-Coble
17,2016,TE,CHI,a,MIN,0,4500,Ben Braunecker
17,2016,TE,MIN,h,CHI,0,4500,David Morgan
17,2016,TE,MIA,h,NE,0,4500,Marqueis Gray
17,2016,TE,SF,h,SEA,0,4500,Jim Dray
17,2016,TE,PIT,h,CLE,0,4500,David Johnson
17,2016,TE,DET,h,GB,0,4500,Clay Harbor
17,2016,PK,ARI,a,LA,15,4500,Chandler Catanzaro
17,2016,PK,KC,a,SDG,13,4600,Cairo Santos
17,2016,PK,SEA,a,SF,13,4700,Steven Hauschka
17,2016,PK,NYJ,h,BUF,12,4500,Nick Folk
17,2016,PK,JAX,a,IND,10,4700,Jason Myers
17,2016,PK,NE,a,MIA,10,4700,Stephen Gostkowski
17,2016,PK,SDG,h,KC,9,4500,Josh Lambo
17,2016,PK,NO,a,ATL,9,4800,Wil Lutz
17,2016,PK,PHI,h,DAL,9,4500,Caleb Sturgis
