idPlayer,namePlayer,position
1629004,Svi Mykhailiuk,G
1628367,Josh Jackson,G
201933,Blake Griffin,F
203486,Mason Plumlee,F
201565,Derrick Rose,G
1630191,Isaiah Stewart,F
1630240,Saben Lee,G
1630180,Saddiq Bey,F
1629635,Sekou Doumbouya,F
1626153,Delon Wright,G
1629686,Deividas Sirvydis,F
1627814,Damion Lee,G
1630185,Nico Mannion,G
1629673,Jordan Poole,G
1626172,Kevon Looney,F
1629346,Alen Smailagic,F
1629672,Eric Paschall,F
202954,Brad Wanamaker,G
202691,Klay Thompson,G
1626162,Kelly Oubre Jr.,F
1628539,Mychal Mulder,G
203952,Andrew Wiggins,F
203110,Draymond Green,F
203145,Kent Bazemore,G
201939,Stephen Curry,G
1627737,Marquese Chriss,F
1630164,James Wiseman,C
1629308,Juan Toscano-Anderson,F
1628425,Sterling Brown,G
202322,John Wall,G
1628021,David Nwaba,G
1629598,Chris Clemons,G
1627863,Danuel House Jr.,F
203998,Bruno Caboclo,F
1630231,Kenyon Martin Jr.,F
1630256,Jae'Sean Tate,F
1630222,Mason Jones,G
201569,Eric Gordon,G
201935,James Harden,G
202326,DeMarcus Cousins,C
203463,Ben McLemore,G
200782,P.J. Tucker,F
1630271,Brodric Thomas,G
1626174,Christian Wood,F
1629665,Jalen Lecque,G
203933,T.J. Warren,F
1630199,Cassius Stanley,G
1628988,Aaron Holiday,G
203506,Victor Oladipo,G
1628410,Edmond Sumner,G
1627763,Malcolm Brogdon,G
203200,Justin Holiday,F
204456,T.J. McConnell,G
1628968,Brian Bowen II,F
1627734,Domantas Sabonis,F
203960,JaKarr Sampson,F
203926,Doug McDermott,F
1629103,Kelan Martin,F
203087,Jeremy Lamb,G
1626167,Myles Turner,C
1629048,Goga Bitadze,C
202704,Reggie Jackson,G
202695,Kawhi Leonard,F
1630206,Jay Scrubb,G
1628379,Luke Kennard,G
201587,Nicolas Batum,G
1629599,Amir Coffey,G
201586,Serge Ibaka,F
1630187,Daniel Oturu,C
202331,Paul George,F
1629611,Terance Mann,G
201976,Patrick Beverley,G
101150,Lou Williams,G
1629662,Mfiondu Kabengele,F
202694,Marcus Morris Sr.,F
1627826,Ivica Zubac,C
202335,Patrick Patterson,F
1628398,Kyle Kuzma,F
203484,Kentavious Caldwell-Pope,G
1626188,Quinn Cook,G
203076,Anthony Davis,F
1627936,Alex Caruso,G
1629659,Talen Horton-Tucker,G
202083,Wesley Matthews,G
201162,Jared Dudley,F
1629719,Devontae Cacok,F
201188,Marc Gasol,C
1626149,Montrezl Harrell,F
203471,Dennis Schroder,G
2544,LeBron James,F
1628035,Alfonzo McKinnie,F
1628961,Kostas Antetokounmpo,F
202693,Markieff Morris,F
1629001,De'Anthony Melton,G
203937,Kyle Anderson,F
1630214,Xavier Tillman,F
1628960,Grayson Allen,G
1629007,Jontay Porter,C
1626159,Justise Winslow,F
1629630,Ja Morant,G
1628991,Jaren Jackson Jr.,F
203476,Gorgui Dieng,C
1629634,Brandon Clarke,F
202685,Jonas Valanciunas,C
1626145,Tyus Jones,G
1630217,Desmond Bane,G
1628415,Dillon Brooks,G
1630253,Sean McDermott,F
1629681,Killian Tillie,F
1629723,John Konchar,G
203086,Meyers Leonard,F
1629216,Gabe Vincent,G
1629644,KZ Okpala,F
1630173,Precious Achiuwa,F
201609,Goran Dragic,G
203090,Maurice Harkless,F
203482,Kelly Olynyk,F
202340,Avery Bradley,G
1628389,Bam Adebayo,C
1629639,Tyler Herro,G
202710,Jimmy Butler,F
1629134,Kendrick Nunn,G
2738,Andre Iguodala,G
1629735,Chris Silva,F
1629622,Max Strus,G
2617,Udonis Haslem,F
1629130,Duncan Robinson,F
1628978,Donte DiVincenzo,G
1628470,Torrey Craig,F
1628391,D.J. Wilson,F
1629121,Jaylen Adams,G
1627854,Bryn Forbes,G
1626171,Bobby Portis,F
201572,Brook Lopez,C
201571,D.J. Augustin,G
1629670,Jordan Nwora,F
1630241,Sam Merrill,G
201950,Jrue Holiday,G
203114,Khris Middleton,F
1626192,Pat Connaughton,G
1629603,Mamadi Diakite,F
203507,Giannis Antetokounmpo,F
203648,Thanasis Antetokounmpo,F
1626156,D'Angelo Russell,G
1630162,Anthony Edwards,G
1630183,Jaden McDaniels,F
1629669,Jaylen Nowell,G
1627736,Malik Beasley,G
1629162,Jordan McLaughlin,G
1629020,Jarred Vanderbilt,F
201937,Ricky Rubio,G
1627774,Jake Layman,F
1629675,Naz Reid,C
202334,Ed Davis,C
1629006,Josh Okogie,G
1630204,Ashton Hagans,G
1629633,Jarrett Culver,G
1626157,Karl-Anthony Towns,C
1627823,Juancho Hernangomez,F
1629627,Zion Williamson,F
1628366,Lonzo Ball,G
1628404,Josh Hart,G
200755,JJ Redick,G
202339,Eric Bledsoe,G
1629638,Nickeil Alexander-Walker,G
1630230,Naji Marshall,F
1626195,Willy Hernangomez,C
1629637,Jaxson Hayes,C
203500,Steven Adams,C
1630184,Kira Lewis Jr.,G
1627742,Brandon Ingram,F
1628414,Sindarius Thornwell,G
1629740,Nicolo Melli,F
1630266,Will Magnay,C
1629117,Wenyen Gabriel,F
1629607,Jared Harper,G
1630167,Obi Toppin,F
1629016,Omari Spellman,F
203457,Nerlens Noel,C
1628372,Dennis Smith Jr.,G
1630193,Immanuel Quickley,G
203901,Elfrid Payton,G
203085,Austin Rivers,G
1629628,RJ Barrett,F
1628373,Frank Ntilikina,G
1629649,Ignas Brazdeikis,F
202692,Alec Burks,G
1628995,Kevin Knox II,F
1629033,Theo Pinson,G
1629011,Mitchell Robinson,C
203493,Reggie Bullock,G
203944,Julius Randle,F
1628983,Shai Gilgeous-Alexander,G
201588,George Hill,G
1629652,Luguentz Dort,G
1628977,Hamidou Diallo,G
1629647,Darius Bazley,F
2772,Trevor Ariza,F
1629650,Moses Brown,C
1630177,Theo Maledon,G
203121,Darius Miller,F
1630221,Josh Hall,F
1629660,Ty Jerome,G
1630197,Aleksej Pokusevski,C
1629676,Isaiah Roby,F
203488,Mike Muscala,F
1629026,Kenrich Williams,G
201143,Al Horford,C
1628382,Justin Jackson,F
203932,Aaron Gordon,F
1628371,Jonathan Isaac,F
202329,Al-Farouq Aminu,F
1629643,Chuma Okeke,F
1630211,Karim Mane,G
1628964,Mo Bamba,C
203487,Michael Carter-Williams,G
1628407,Dwayne Bacon,G
202696,Nikola Vucevic,C
203095,Evan Fournier,G
203516,James Ennis III,F
1629109,Gary Clark,F
1628365,Markelle Fultz,G
1629648,Jordan Bone,G
203920,Khem Birch,C
203082,Terrence Ross,G
1630175,Cole Anthony,G
1630178,Tyrese Maxey,G
203118,Mike Scott,F
1630198,Isaiah Joe,G
1628396,Tony Bradley,C
202699,Tobias Harris,F
201980,Danny Green,G
1629738,Vincent Poirier,C
1629003,Shake Milton,G
203954,Joel Embiid,C
1629680,Matisse Thybulle,G
1628390,Terrance Ferguson,G
1627732,Ben Simmons,G
1627788,Furkan Korkmaz,G
203552,Seth Curry,G
1629751,Dakota Mathias,G
2730,Dwight Howard,C
1630194,Paul Reed,F
1630234,Ty-Shon Alexander,G
1626164,Devin Booker,G
204038,Langston Galloway,G
101108,Chris Paul,G
1628975,Jevon Carter,G
1626163,Frank Kaminsky,F
1630188,Jalen Smith,F
1627846,Abdel Nader,F
1626166,Cameron Payne,G
203967,Dario Saric,F
1629028,Deandre Ayton,C
1629661,Cameron Johnson,F
1628969,Mikal Bridges,F
1627745,Damian Jones,C
202734,E'Twaun Moore,G
203109,Jae Crowder,F
2546,Carmelo Anthony,F
203081,Damian Lillard,G
1629014,Anfernee Simons,G
1629018,Gary Trent Jr.,G
203468,CJ McCollum,G
1628385,Harry Giles III,F
203918,Rodney Hood,G
1629642,Nassir Little,F
202683,Enes Kanter,C
1629604,CJ Elleby,F
1629833,Keljin Blevins,G
203496,Robert Covington,F
203994,Jusuf Nurkic,C
1628380,Zach Collins,F
1627884,Derrick Jones Jr.,F
1630169,Tyrese Haliburton,G
1630186,Jahmi'us Ramsey,G
1628368,De'Aaron Fox,G
1629657,Kyle Guy,G
202357,Nemanja Bjelica,F
202709,Cory Joseph,G
1629713,Justin James,G
1630218,Robert Woodard II,F
1629610,DaQuan Jeffries,G
202355,Hassan Whiteside,C
1626158,Richaun Holmes,F
1627741,Buddy Hield,G
1629002,Chimezie Metu,F
203922,Glenn Robinson III,F
203953,Jabari Parker,F
1628963,Marvin Bagley III,F
203084,Harrison Barnes,F
1629022,Lonnie Walker IV,G
1629640,Keldon Johnson,F
1628401,Derrick White,G
1627749,Dejounte Murray,G
1628966,Keita Bates-Diop,F
201988,Patty Mills,G
201942,DeMar DeRozan,G
200746,LaMarcus Aldridge,C
1629234,Drew Eubanks,F
1629683,Quinndary Weatherspoon,G
1629677,Luka Samanic,F
200752,Rudy Gay,F
1630170,Devin Vassell,G
1627751,Jakob Poeltl,C
1630200,Tre Jones,G
1626168,Trey Lyles,F
1629056,Terence Davis,G
1628778,Paul Watson,G
1630223,Jalen Harris,G
1628384,OG Anunoby,F
1626169,Stanley Johnson,F
200768,Kyle Lowry,G
1630201,Malachi Flynn,G
1629139,Yuta Watanabe,G
1629744,Matt Thomas,G
1627775,Patrick McCaw,G
1627832,Fred VanVleet,G
1626181,Norman Powell,G
1628449,Chris Boucher,F
203458,Alex Len,C
1627783,Pascal Siakam,F
203382,Aron Baynes,C
1627761,DeAndre' Bembry,G
203903,Jordan Clarkson,G
204060,Joe Ingles,F
1630235,Trent Forrest,G
1629714,Jarrell Brantley,F
1627885,Shaquille Harrison,G
201144,Mike Conley,G
202324,Derrick Favors,F
1629752,Juwan Morgan,F
1628962,Udoka Azubuike,C
1626220,Royce O'Neale,F
203497,Rudy Gobert,C
1627777,Georges Niang,F
1630190,Elijah Hughes,G
202711,Bojan Bogdanovic,F
1628378,Donovan Mitchell,G
1629671,Miye Oni,G
203078,Bradley Beal,G
201566,Russell Westbrook,G
1630216,Cassius Winston,G
1628972,Troy Brown Jr.,G
1629060,Rui Hachimura,F
1630166,Deni Avdija,F
1629010,Jerome Robinson,G
1628418,Thomas Bryant,C
202397,Ish Smith,G
1630264,Anthony Gill,F
1629067,Isaac Bonga,G
1628394,Anzejs Pasecniks,C
203526,Raul Neto,G
1629021,Moritz Wagner,F
1629726,Garrison Mathews,G
201577,Robin Lopez,C
202722,Davis Bertans,F
