dateGame,locationGame,slugTeam,Opp,namePlayer,fgm,fga,3-pointers,fg3a,fg2m,fg2a,minutes,ftm,fta,rebounds,assists,steals,blocks,turnovers,points,fpts,urlPlayerHeadshot
2019-12-31,H,OKC,DAL,Hamidou Diallo,1,4,0,1,1,3,19,2,2,1,0,1,0,0,4,8.2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628977.png
2019-12-31,H,OKC,DAL,Abdel Nader,1,2,0,1,1,1,8,0,0,0,0,0,1,0,2,5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627846.png
2019-12-31,A,DAL,OKC,Jalen Brunson,3,9,1,3,2,6,23,0,0,2,1,0,0,1,7,9.9,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628973.png
2019-12-31,A,CLE,TOR,Ante Zizic,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627790.png
2019-12-31,A,CLE,TOR,Dante Exum,1,4,0,2,1,2,15,3,5,1,1,0,0,1,5,6.7,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203957.png
2019-12-31,H,TOR,CLE,Chris Boucher,1,5,0,1,1,4,16,0,0,6,0,2,1,0,2,18.2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628449.png
2019-12-31,H,TOR,CLE,Oshae Brissett,0,3,0,2,0,1,15,1,2,4,0,0,0,0,1,5.8,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629052.png
2019-12-31,H,TOR,CLE,Kyle Lowry,7,16,4,12,3,4,36,6,6,1,8,0,1,1,24,39.2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200768.png
2019-12-31,H,TOR,CLE,Fred VanVleet,4,14,3,8,1,6,30,1,2,4,7,0,4,4,12,35.3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627832.png
2019-12-31,H,TOR,CLE,Malcolm Miller,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1.5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626259.png
2019-12-31,A,CLE,TOR,Matthew Dellavedova,1,4,1,3,0,1,15,0,0,1,2,1,0,1,3,9.2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203521.png
2019-12-31,A,CLE,TOR,Darius Garland,5,11,2,7,3,4,34,0,0,1,4,1,0,1,12,21.2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629636.png
2019-12-31,H,TOR,CLE,Patrick McCaw,2,5,1,2,1,3,22,1,2,4,4,1,0,0,6,19.8,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627775.png
2019-12-31,H,TOR,CLE,Terence Davis,7,12,4,7,3,5,25,1,2,4,1,0,0,1,19,24.3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629056.png
2019-12-31,H,TOR,CLE,Rondae Hollis-Jefferson,5,9,0,0,5,9,28,4,5,5,2,0,0,1,14,22,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626178.png
2019-12-31,A,CLE,TOR,Cedi Osman,5,12,4,8,1,4,25,0,0,4,4,0,1,0,14,27.8,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626224.png
2019-12-31,A,CLE,TOR,Larry Nance,2,5,0,1,2,4,20,0,0,7,2,1,0,2,4,16.4,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626204.png
