season,week,week_order,week_name
2017,1,103,"As of Week 1, 2017"
2017,2,104,"As of Week 2, 2017"
2017,3,105,"As of Week 3, 2017"
2017,4,106,"As of Week 4, 2017"
2017,5,107,"As of Week 5, 2017"
2017,6,108,"As of Week 6, 2017"
2017,7,109,"As of Week 7, 2017"
2017,8,110,"As of Week 8, 2017"
2017,9,111,"As of Week 9, 2017"
2017,10,112,"As of Week 10, 2017"
2017,11,113,"As of Week 11, 2017"
2017,12,114,"As of Week 12, 2017"
2017,13,115,"As of Week 13, 2017"
2017,14,116,"As of Week 14, 2017"
2017,15,117,"As of Week 15, 2017"
2017,16,118,"As of Week 16, 2017"
2017,17,119,"As of Week 17, 2017"
2018,1,120,"As of Week 1, 2018"
2018,2,121,"As of Week 2, 2018"
2018,3,122,"As of Week 3, 2018"
2018,4,123,"As of Week 4, 2018"
2018,5,124,"As of Week 5, 2018"
2018,6,125,"As of Week 6, 2018"
2018,7,126,"As of Week 7, 2018"
2018,8,127,"As of Week 8, 2018"
2018,9,128,"As of Week 9, 2018"
2018,10,129,"As of Week 10, 2018"
2018,11,130,"As of Week 11, 2018"
2018,12,131,"As of Week 12, 2018"
2018,13,132,"As of Week 13, 2018"
2018,14,133,"As of Week 14, 2018"
2018,15,134,"As of Week 15, 2018"
2018,16,135,"As of Week 16, 2018"
2018,17,136,"As of Week 17, 2018"
2019,1,137,"As of Week 1, 2019"
2019,2,138,"As of Week 2, 2019"
2019,3,139,"As of Week 3, 2019"
2019,4,140,"As of Week 4, 2019"
2019,5,141,"As of Week 5, 2019"
2019,6,142,"As of Week 6, 2019"
2019,7,143,"As of Week 7, 2019"
2019,8,144,"As of Week 8, 2019"
2019,9,145,"As of Week 9, 2019"
2019,10,146,"As of Week 10, 2019"
2019,11,147,"As of Week 11, 2019"
2019,12,148,"As of Week 12, 2019"
2019,13,149,"As of Week 13, 2019"
2019,14,150,"As of Week 14, 2019"
2019,15,151,"As of Week 15, 2019"
2019,16,152,"As of Week 16, 2019"
2019,17,153,"As of Week 17, 2019"
2020,1,154,"As of Week 1, 2020"
2020,2,155,"As of Week 2, 2020"
2020,3,156,"As of Week 3, 2020"
2020,4,157,"As of Week 4, 2020"
2020,5,158,"As of Week 5, 2020"
2020,6,159,"As of Week 6, 2020"
2020,7,160,"As of Week 7, 2020"
2020,8,161,"As of Week 8, 2020"
2020,9,162,"As of Week 9, 2020"
2020,10,163,"As of Week 10, 2020"
2020,11,164,"As of Week 11, 2020"
2020,12,165,"As of Week 12, 2020"
2020,13,166,"As of Week 13, 2020"
2020,14,167,"As of Week 14, 2020"
2020,15,168,"As of Week 15, 2020"
2020,16,169,"As of Week 16, 2020"
2020,17,170,"As of Week 17, 2020"
